nav | Desktop White | PROPERTIES SERVICES ABOUT Contact us | 0 | 0 | 1440 | 84 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(255, 255, 255) | 0px | 15px 8px | 0px none rgb(0, 0, 0) | none | 1 | 24px | flex | none | none | fill | hidden | relative
div | Legals Section | Privacy Policy Terms of Service | 107 | 518 | 190 | 59 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 12px | flex | none | none | fill | visible | relative
div | Legal Details | Privacy Policy | 107 | 518 | 190 | 23 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 4px | flex | none | none | fill | visible | relative
div | Navigation Items | Privacy Policy | 107 | 518 | 87 | 23 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | visible | relative
a | Default | Privacy Policy | 107 | 518 | 87 | 23 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | 0px | flex | none | none | fill | visible | relative
div | Process Label | Privacy Policy | 107 | 518 | 87 | 22 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | Privacy Policy | 107 | 518 | 87 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(8, 11, 15) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(8, 11, 15) | none | 1 | normal | block | none | none | fill | visible | static
div | Legal Details | Terms of Service | 107 | 554 | 190 | 23 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 4px | flex | none | none | fill | visible | relative
div | Navigation Items | Terms of Service | 107 | 554 | 109 | 23 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | visible | relative
a | Default | Terms of Service | 107 | 554 | 109 | 23 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | 0px | flex | none | none | fill | visible | relative
div | Process Label | Terms of Service | 107 | 554 | 109 | 22 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | Terms of Service | 107 | 554 | 109 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(8, 11, 15) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(8, 11, 15) | none | 1 | normal | block | none | none | fill | visible | static
div | Content Area | Introduction Purpose of This Policy Homy (“we”, “o | 344 | 442 | 750 | 5240 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 48px | flex | none | none | fill | visible | relative
div | Content Label | Introduction Purpose of This Policy Homy (“we”, “o | 344 | 442 | 750 | 5240 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
h4 |  | Introduction | 344 | 442 | 750 | 48 | Switzer | 34px | 500 | 47.6px | normal | rgb(12, 12, 12) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(12, 12, 12) | none | 1 | normal | block | none | none | fill | visible | static
h6 |  | Purpose of This Policy | 344 | 530 | 750 | 31 | Switzer | 22px | 500 | 30.8px | normal | rgb(25, 25, 25) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(25, 25, 25) | none | 1 | normal | block | none | none | fill | visible | static
p |  | Homy (“we”, “our”, or “us”) is committed to protec | 344 | 581 | 750 | 67 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  | Please read this policy carefully. If you disagree | 344 | 668 | 750 | 45 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
h6 |  | Scope of Coverage | 344 | 753 | 750 | 31 | Switzer | 22px | 500 | 30.8px | normal | rgb(25, 25, 25) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(25, 25, 25) | none | 1 | normal | block | none | none | fill | visible | static
p |  | This policy applies to all information collected t | 344 | 803 | 750 | 67 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
h6 |  | Consent | 344 | 911 | 750 | 31 | Switzer | 22px | 500 | 30.8px | normal | rgb(25, 25, 25) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(25, 25, 25) | none | 1 | normal | block | none | none | fill | visible | static
p |  | By using our platform, you consent to the collecti | 344 | 961 | 750 | 67 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  | Note: This template is for demonstration purposes  | 344 | 1049 | 750 | 45 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  |  | 344 | 1113 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
h4 |  | Information We Collect | 344 | 1176 | 750 | 48 | Switzer | 34px | 500 | 47.6px | normal | rgb(12, 12, 12) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(12, 12, 12) | none | 1 | normal | block | none | none | fill | visible | static
h6 |  | Personal Information | 344 | 1263 | 750 | 31 | Switzer | 22px | 500 | 30.8px | normal | rgb(25, 25, 25) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(25, 25, 25) | none | 1 | normal | block | none | none | fill | visible | static
p |  | We collect personal information that you voluntari | 344 | 1314 | 750 | 45 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  | • Full name, email address, and phone number | 344 | 1379 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  | • Mailing address and country of residence | 344 | 1421 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  | • Payment and billing information (processed secur | 344 | 1464 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  | • Property preferences, search history, and saved  | 344 | 1506 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  | • Profile photo and agent credentials (for registe | 344 | 1549 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  | • Communication preferences and marketing opt-in s | 344 | 1591 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
h6 |  | Non-Personal Information | 344 | 1654 | 750 | 31 | Switzer | 22px | 500 | 30.8px | normal | rgb(25, 25, 25) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(25, 25, 25) | none | 1 | normal | block | none | none | fill | visible | static
p |  | When you visit our website, we automatically colle | 344 | 1704 | 750 | 67 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
h6 |  | Information Collected Automatically | 344 | 1812 | 750 | 31 | Switzer | 22px | 500 | 30.8px | normal | rgb(25, 25, 25) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(25, 25, 25) | none | 1 | normal | block | none | none | fill | visible | static
p |  | We use cookies, web beacons, pixels, and similar t | 344 | 1862 | 750 | 90 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  |  | 344 | 1972 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
h4 |  | How We Use Your Information | 344 | 2034 | 750 | 48 | Switzer | 34px | 500 | 47.6px | normal | rgb(12, 12, 12) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(12, 12, 12) | none | 1 | normal | block | none | none | fill | visible | static
h6 |  | To Operate and Improve Our Services | 344 | 2122 | 750 | 31 | Switzer | 22px | 500 | 30.8px | normal | rgb(25, 25, 25) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(25, 25, 25) | none | 1 | normal | block | none | none | fill | visible | static
p |  | We use the information we collect to provide, main | 344 | 2173 | 750 | 67 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
h6 |  | To Communicate with You | 344 | 2280 | 750 | 31 | Switzer | 22px | 500 | 30.8px | normal | rgb(25, 25, 25) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(25, 25, 25) | none | 1 | normal | block | none | none | fill | visible | static
p |  | We may use your contact information to send you pr | 344 | 2331 | 750 | 67 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
h6 |  | To Improve User Experience | 344 | 2438 | 750 | 31 | Switzer | 22px | 500 | 30.8px | normal | rgb(25, 25, 25) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(25, 25, 25) | none | 1 | normal | block | none | none | fill | visible | static
p |  | We analyse usage data to understand how our users  | 344 | 2489 | 750 | 67 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  |  | 344 | 2576 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
h4 |  | Sharing & Disclosure | 344 | 2638 | 750 | 48 | Switzer | 34px | 500 | 47.6px | normal | rgb(12, 12, 12) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(12, 12, 12) | none | 1 | normal | block | none | none | fill | visible | static
h6 |  | Service Providers and Partners | 344 | 2726 | 750 | 31 | Switzer | 22px | 500 | 30.8px | normal | rgb(25, 25, 25) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(25, 25, 25) | none | 1 | normal | block | none | none | fill | visible | static
p |  | We may share your information with trusted third-p | 344 | 2777 | 750 | 67 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
h6 |  | For Legal Requirements | 344 | 2884 | 750 | 31 | Switzer | 22px | 500 | 30.8px | normal | rgb(25, 25, 25) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(25, 25, 25) | none | 1 | normal | block | none | none | fill | visible | static
p |  | We may disclose your information where required by | 344 | 2935 | 750 | 67 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
h6 |  | In Business Transfers | 344 | 3042 | 750 | 31 | Switzer | 22px | 500 | 30.8px | normal | rgb(25, 25, 25) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(25, 25, 25) | none | 1 | normal | block | none | none | fill | visible | static
p |  | If Homy is involved in a merger, acquisition, or a | 344 | 3093 | 750 | 45 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
h6 |  | We Do Not Sell Your Data | 344 | 3178 | 750 | 31 | Switzer | 22px | 500 | 30.8px | normal | rgb(25, 25, 25) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(25, 25, 25) | none | 1 | normal | block | none | none | fill | visible | static
p |  | Homy does not sell, trade, or rent your personally | 344 | 3228 | 750 | 45 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  |  | 344 | 3293 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
h4 |  | Cookies | 344 | 3356 | 750 | 48 | Switzer | 34px | 500 | 47.6px | normal | rgb(12, 12, 12) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(12, 12, 12) | none | 1 | normal | block | none | none | fill | visible | static
h6 |  | What Are Cookies | 344 | 3443 | 750 | 31 | Switzer | 22px | 500 | 30.8px | normal | rgb(25, 25, 25) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(25, 25, 25) | none | 1 | normal | block | none | none | fill | visible | static
p |  | Cookies are small text files placed on your device | 344 | 3494 | 750 | 67 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
h6 |  | Types of Cookies We Use | 344 | 3601 | 750 | 31 | Switzer | 22px | 500 | 30.8px | normal | rgb(25, 25, 25) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(25, 25, 25) | none | 1 | normal | block | none | none | fill | visible | static
p |  | • Essential cookies — required for the platform to | 344 | 3652 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  | • Analytics cookies — help us understand how visit | 344 | 3694 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  | • Preference cookies — remember your settings and  | 344 | 3737 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  | • Marketing cookies — used to deliver relevant pro | 344 | 3779 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
h6 |  | Managing Cookies | 344 | 3842 | 750 | 31 | Switzer | 22px | 500 | 30.8px | normal | rgb(25, 25, 25) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(25, 25, 25) | none | 1 | normal | block | none | none | fill | visible | static
p |  | You can control or disable cookies through your br | 344 | 3892 | 750 | 45 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  |  | 344 | 3957 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
h4 |  | Data Security | 344 | 4020 | 750 | 48 | Switzer | 34px | 500 | 47.6px | normal | rgb(12, 12, 12) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(12, 12, 12) | none | 1 | normal | block | none | none | fill | visible | static
h6 |  | How We Protect Your Data | 344 | 4107 | 750 | 31 | Switzer | 22px | 500 | 30.8px | normal | rgb(25, 25, 25) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(25, 25, 25) | none | 1 | normal | block | none | none | fill | visible | static
p |  | We implement industry-standard security measures t | 344 | 4158 | 750 | 67 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  | However, no method of transmission over the Intern | 344 | 4245 | 750 | 45 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
