nav | Desktop White | PROPERTIES SERVICES ABOUT Contact us | 0 | 0 | 1440 | 84 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(255, 255, 255) | 0px | 15px 8px | 0px none rgb(0, 0, 0) | none | 1 | 24px | flex | none | none | fill | hidden | relative
div | Video Player |  | 92 | 445 | 603 | 326 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | visible | relative
video |  |  | 92 | 445 | 603 | 326 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 20px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | cover | clip | static
div | Right Content Container | OUR CLIENTS | 745 | 180 | 603 | 591 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 30px | flex | none | none | fill | visible | relative
div | Home Image |  | 745 | 180 | 603 | 521 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 20px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | visible | relative
img |  | Modern A-frame house with large windows and forest | 745 | 180 | 603 | 521 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 20px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | cover | clip | static | https://framerusercontent.com/images/4HL0fzFRq5ePZ1mpJXpZ4a4y5Y.png?scale-down-to=1024&width=4096&height=3395 | 603x499
div | Clients Logo Wrapper | OUR CLIENTS | 745 | 731 | 603 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | visible | relative
div | Clients Title | OUR CLIENTS | 745 | 736 | 137 | 31 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
h6 |  | OUR CLIENTS | 745 | 736 | 137 | 31 | Switzer | 22px | 500 | 30.8px | normal | rgb(8, 11, 15) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(8, 11, 15) | none | 1 | normal | block | none | none | fill | visible | static
div | Clients Ticker |  | 892 | 731 | 456 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 0.7 | 40px | flex | none | none | fill | visible | relative
li |  |  | 1861 | 731 | 165 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | list-item | none | none | fill | visible | relative
div | Client 1 |  | 1861 | 731 | 165 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 7.15px | flex | none | none | fill | clip | relative
svg |  |  | 1861 | 737 | 165 | 29 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | hidden | static
li |  |  | -76 | 731 | 191 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | list-item | none | none | fill | visible | relative
div | Client 3 |  | -76 | 731 | 191 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 7.15px | flex | none | none | fill | clip | relative
svg |  |  | -76 | 736 | 191 | 30 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | hidden | static
li |  |  | 155 | 731 | 171 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | list-item | none | none | fill | visible | relative
div | Client 3 |  | 155 | 731 | 171 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 7.15px | flex | none | none | fill | clip | relative
svg |  |  | 155 | 736 | 171 | 31 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | hidden | static
li |  |  | 366 | 731 | 189 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | list-item | none | none | fill | visible | relative
div | Client 4 |  | 366 | 731 | 189 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 7.15px | flex | none | none | fill | clip | relative
svg |  |  | 366 | 737 | 189 | 29 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | hidden | static
li |  |  | 595 | 731 | 155 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | list-item | none | none | fill | visible | relative
div | Client 5 |  | 595 | 731 | 155 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 7.15px | flex | none | none | fill | clip | relative
svg |  |  | 595 | 736 | 155 | 31 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | hidden | static
li |  |  | 790 | 731 | 165 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | list-item | none | none | fill | visible | relative
div | Client 1 |  | 790 | 731 | 165 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 7.15px | flex | none | none | fill | clip | relative
svg |  |  | 790 | 737 | 165 | 29 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | hidden | static
li |  |  | 995 | 731 | 191 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | list-item | none | none | fill | visible | relative
div | Client 3 |  | 995 | 731 | 191 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 7.15px | flex | none | none | fill | clip | relative
svg |  |  | 995 | 736 | 191 | 30 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | hidden | static
li |  |  | 1226 | 731 | 171 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | list-item | none | none | fill | visible | relative
div | Client 3 |  | 1226 | 731 | 171 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 7.15px | flex | none | none | fill | clip | relative
svg |  |  | 1226 | 736 | 171 | 31 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | hidden | static
li |  |  | 1437 | 731 | 189 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | list-item | none | none | fill | visible | relative
div | Client 4 |  | 1437 | 731 | 189 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 7.15px | flex | none | none | fill | clip | relative
svg |  |  | 1437 | 737 | 189 | 29 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | hidden | static
li |  |  | 1666 | 731 | 155 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | list-item | none | none | fill | visible | relative
div | Client 5 |  | 1666 | 731 | 155 | 40 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 7.15px | flex | none | none | fill | clip | relative
svg |  |  | 1666 | 736 | 155 | 31 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | hidden | static
section | Homy Quote | Smarter choices behind every home decision Designe | 0 | 851 | 1440 | 255 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(246, 246, 246) | 0px | 80px 0px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | visible | relative
div | Quote Container | Smarter choices behind every home decision Designe | 60 | 931 | 1320 | 95 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px 32px | 0px none rgb(0, 0, 0) | none | 1 | 64px | flex | none | none | fill | visible | relative
div | Metrics Subtitle | Smarter choices behind every home decision | 92 | 931 | 596 | 95 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
h4 |  | Smarter choices behind every home decision | 92 | 931 | 596 | 95 | Switzer | 34px | 500 | 47.6px | normal | rgb(8, 11, 15) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(8, 11, 15) | none | 1 | normal | block | none | none | fill | visible | static
div | Metrics Description | Designed to make your home search simple, clear, a | 752 | 935 | 596 | 86 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | Designed to make your home search simple, clear, a | 752 | 935 | 596 | 86 | Switzer | 18px | 500 | 28.8px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
section | Our Mission Section | Our Mission To make home discovery simple, clear,  | 0 | 1106 | 1440 | 880 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(255, 255, 255) | 0px | 80px 0px 0px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | visible | relative
div | Container | Our Mission To make home discovery simple, clear,  | 0 | 1186 | 1440 | 800 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | visible | relative
div | Mission Video |  | 0 | 1186 | 1440 | 800 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | visible | relative
video |  |  | 0 | 1186 | 1440 | 800 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | cover | clip | static
div | Mission/Vision Container | Our Mission To make home discovery simple, clear,  | 60 | 1742 | 1320 | 244 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 32px | 0px none rgb(0, 0, 0) | none | 1 | 32px | flex | none | none | fill | visible | absolute
div | Our Mission | Our Mission To make home discovery simple, clear,  | 92 | 1774 | 612 | 180 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0.2) | 15px | 25px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | visible | relative
div | Mission Title Text | Our Mission | 117 | 1799 | 151 | 34 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
h5 |  | Our Mission | 117 | 1799 | 151 | 34 | Switzer | 28px | 500 | 33.6px | normal | rgb(255, 255, 255) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(255, 255, 255) | none | 1 | normal | block | none | none | fill | visible | static
div | Mission Description Text | To make home discovery simple, clear, and accessib | 117 | 1843 | 562 | 86 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | To make home discovery simple, clear, and accessib | 117 | 1843 | 562 | 86 | Switzer | 18px | 500 | 28.8px | normal | rgb(245, 245, 245) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(245, 245, 245) | none | 1 | normal | block | none | none | fill | visible | static
div | Our Vision | Our Vision To create a modern real estate experien | 736 | 1774 | 612 | 180 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0.2) | 15px | 25px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | visible | relative
div | Vision Title Text | Our Vision | 761 | 1799 | 131 | 34 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
h5 |  | Our Vision | 761 | 1799 | 131 | 34 | Switzer | 28px | 500 | 33.6px | normal | rgb(255, 255, 255) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(255, 255, 255) | none | 1 | normal | block | none | none | fill | visible | static
div | Vision Text | To create a modern real estate experience where fi | 761 | 1843 | 562 | 86 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | To create a modern real estate experience where fi | 761 | 1843 | 562 | 86 | Switzer | 18px | 500 | 28.8px | normal | rgb(245, 245, 245) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(245, 245, 245) | none | 1 | normal | block | none | none | fill | visible | static
section | TRUST & CONFIDENCE | TRUST & CONFIDENCE Confidence behind every propert | 0 | 1986 | 1440 | 1197 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 80px 0px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | visible | relative
div | Container | TRUST & CONFIDENCE Confidence behind every propert | 60 | 2066 | 1320 | 1037 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px 32px | 0px none rgb(0, 0, 0) | none | 1 | 64px | flex | none | none | fill | visible | relative
div | Heading Wrapper | TRUST & CONFIDENCE Confidence behind every propert | 92 | 2066 | 1256 | 173 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
div | Title Wrapper | TRUST & CONFIDENCE Confidence behind every propert | 92 | 2066 | 600 | 173 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 16px | flex | none | none | fill | visible | relative
div | Metrics Tag | TRUST & CONFIDENCE | 92 | 2066 | 169 | 22 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | visible | relative
div | Dark | TRUST & CONFIDENCE | 92 | 2066 | 169 | 22 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 7px | flex | none | none | fill | visible | relative
div | Icon Wrapper |  | 92 | 2071 | 13 | 13 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 10px | 3px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | visible | relative
div | Dot |  | 95 | 2074 | 7 | 7 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(75, 91, 99) | 10px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | clip | relative
p |  | TRUST & CONFIDENCE | 112 | 2066 | 149 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
div | Metrics Tag Text | Confidence behind every property decision | 92 | 2105 | 600 | 134 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
